代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"2641","正德","1,122,000","70,000","1,052,000","0","0","0","1,122,000","70,000","1,052,000","0","0","0","39,000","0","39,000","0","0","0","39,000","0","39,000","1,091,000"
"2726","雅茗-KY","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","0","0","0","0","0","0","-1,000"
"2729","瓦城","10,000","0","10,000","0","0","0","10,000","0","10,000","0","0","0","0","0","0","2,000","0","2,000","2,000","0","2,000","12,000"
"2732","六角","132,000","68,000","64,000","0","0","0","132,000","68,000","64,000","0","0","0","5,000","0","5,000","39,000","27,000","12,000","44,000","27,000","17,000","81,000"
"2745","五福","0","0","0","0","0","0","0","0","0","0","0","0","0","9,000","-9,000","0","0","0","0","9,000","-9,000","-9,000"
"2916","滿心","0","0","0","0","0","0","0","0","0","0","0","0","0","1,000","-1,000","0","0","0","0","1,000","-1,000","-1,000"
"2928","紅馬-KY","20,000","89,000","-69,000","0","0","0","20,000","89,000","-69,000","0","0","0","0","0","0","50,000","0","50,000","50,000","0","50,000","-19,000"
"3068","美磊","21,000","803,000","-782,000","0","0","0","21,000","803,000","-782,000","0","0","0","1,000","1,000","0","20,000","1,000","19,000","21,000","2,000","19,000","-763,000"
"3071","協禧","14,000","9,000","5,000","0","0","0","14,000","9,000","5,000","0","0","0","0","0","0","0","0","0","0","0","0","5,000"
"3073","凱柏實業","0","10,000","-10,000","0","0","0","0","10,000","-10,000","0","0","0","14,000","0","14,000","0","0","0","14,000","0","14,000","4,000"
"3078","僑威","18,000","99,000","-81,000","0","0","0","18,000","99,000","-81,000","0","0","0","0","0","0","0","0","0","0","0","0","-81,000"
