"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="077571","旺宏元大7A購11","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","248,000","276,000","-28,000","-28,000",
="075629","日月光元富79購01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","72,000","101,000","-29,000","-29,000",
="074651","上銀統一7A購01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","32,000","61,000","-29,000","-29,000",
="074846","大立光元大79購05","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","200,000","229,000","-29,000","-29,000",
="076908","捷敏元富7A購01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","0","29,000","-29,000","-29,000",
="077398","玉晶光元富7A購01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","1,000","30,000","-29,000","-29,000",
="06333P","上銀兆豐78售03","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","191,000","220,000","-29,000","-29,000",
="06316P","晶電元大78售05","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","304,000","333,000","-29,000","-29,000",
="05946P","鴻海永豐76售01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","70,000","99,000","-29,000","-29,000",
="070106","大同群益76購02","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","0","29,000","-29,000","-29,000",
="073910","臺股指元大79購06","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","5,000","34,000","-29,000","-29,000",
="074123","儒鴻麥證79購01","0","0","0","179,000","133,000","46,000","0","0","0","-29,000","0","0","0","199,000","228,000","-29,000","-29,000",
="074075","台積電永豐78購02","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","0","29,000","-29,000","-29,000",
="07240P","大同元大7A售01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","352,000","381,000","-29,000","-29,000",
="071894","台勝科元大77購03","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","273,000","302,000","-29,000","-29,000",
="073546","華通元大78購02","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","189,000","218,000","-29,000","-29,000",
="072780","宏達電元大77購03","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","1,000","30,000","-29,000","-29,000",
="07273P","美律元富7B售01","0","0","0","0","0","0","0","0","0","-29,000","0","0","0","95,000","124,000","-29,000","-29,000",
="076651","聯茂元富7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","0","30,000","-30,000","-30,000",
="076455","奇鋐元富7A購01","0","0","0","0","0","0","0","0","0","-30,000","0","0","0","20,000","50,000","-30,000","-30,000",
