證券商代號,證券商名稱
918D,群益金鼎-東門
918d,群益金鼎-內湖
918E,群益金鼎-南京
918e,群益金鼎-大安
918F,群益金鼎-新店
918g,群益金鼎-大甲
918G,群益金鼎-新莊
918H,群益金鼎-中山
918i,群益金鼎-竹南
918I,群益金鼎-三重
918J,群益金鼎-永和
918K,群益金鼎-東湖
918k,群益金鼎-西屯
918L,群益金鼎-建成
918M,群益金鼎-嘉義
918P,群金鼎益-天母
918R,群益金鼎-大直
918s,群益金鼎-丹鳳
918u,群益金鼎-瑞豐
918W,群益金鼎-忠孝
918X,群益金鼎-台北
918x,群益金鼎-延平
918z,群益金鼎-宜蘭
9200,凱基
9201,凱基-陽明
9202,凱基-中港
9203,凱基總公司
9204,凱基-台中
9205,凱基-三重
9206,凱基-高雄
9207,凱基-永和
9208,凱基-桃園成功
9209,凱基-岡山
920B,凱基-基隆
920H,凱基-基隆仁一
920L,凱基-民生
920M,凱基-宜蘭
920N,凱基-湖口
920V,凱基-新店
920W,凱基-大里
920Y,凱基-仁愛
9211,凱基-台南
9212,凱基-東港
9213,凱基-板新
9214,凱基-彰化和平
9215,凱基-三民
9216,凱基-信義
9217,凱基-松山
9218,凱基-大直
921Y,凱基-東勢
9221,凱基-新竹
9222,凱基-嘉義
9223,凱基-豐中
9224,凱基-新莊
9225,凱基-內埔
9226,凱基-汐止
9227,凱基-城中
9228,凱基-古亭
9229,凱基-中山
922C,凱基-屏東
922H,凱基-復興
9231,凱基-員林
9232,凱基-建成
9233,凱基-長庚
9234,凱基-竹北
9235,凱基-永華
9236,凱基-虎尾
9237,凱基-敦北
9238,凱基-士林
9239,凱基-大業
9243,凱基-七賢
9251,凱基-松江
9252,凱基-嘉南
9253,凱基-桃園
9254,凱基-科園
9255,凱基-和平
9256,凱基-南崁
9257,凱基-林口
9258,凱基-羅東
9259,凱基-北高雄
9261,凱基-台東
9262,凱基-前鎮
9263,凱基-府城
9264,凱基-中壢
9265,凱基-平鎮
9266,凱基-新豐
9267,凱基-五權
9268,凱基-台北
9269,凱基-永春
9272,凱基-竹科
9273,凱基-竹東
9274,凱基-鳳山
9275,凱基-三多
9276,凱基-苗栗
9277,凱基-幸福
9278,凱基-永康
9281,凱基-斗六
9282,凱基-北三重
9283,凱基-北門
9285,凱基-海華
9286,凱基-彰化
9287,凱基-內湖
9288,凱基-板橋
9289,凱基-興隆
9291,凱基-大安
9292,凱基-敦南
9293,凱基-忠孝
9294,凱基-西屯
9295,凱基-中和
9296,凱基-頭份
9297,凱基-文心
9298,凱基-延平
9300,華南永昌
9301,華南永昌-大稻埕
9302,華南永昌-台中
9303,華南永昌-高雄
9304,華南永昌-基隆
9305,華南永昌-新莊
9306,華南永昌-台南
9307,華南永昌-大安
9308,華南永昌-麻豆
9309,華南永昌-古亭
9311,華南永昌-蘇澳
9312,華南永昌-民權
9313,華南永昌-大里
9314,華南永昌-嘉義
9315,華南永昌-苑裡
9316,華南永昌-淡水
9317,華南永昌-林口
9318,華南永昌-大同
9319,華南永昌-鶯歌
9321,華南永昌-佳里
9322,華南永昌-公誠
9323,華南永昌-小港
9324,華南永昌-岡山
9325,華南永昌-忠孝
9326,華南永昌-南京
9327,華南永昌-斗六
9328,華南永昌-潮州
9329,華南永昌-朴子
9331,華南永昌-鳳山
9332,華南永昌-楠梓
9333,華南永昌-長虹
9334,華南永昌-世貿
9335,華南永昌-鹽埕
9336,華南永昌-士林
9337,華南永昌-內壢
9339,華南永昌-竹北
9342,華南永昌-松江
9343,華南永昌-頭份
9345,華南永昌-松德
9347,華南永昌-敦南
9348,華南永昌-五權
9349,華南永昌-合泰
9352,華南永昌-桃園
9353,華南永昌-赤崁
9356,華南永昌-竹南
9358,華南永昌-東勢
9359,華南永昌-中正
9362,華南永昌-苗栗
9363,華南永昌-彰化
9364,華南永昌-和平
9365,華南永昌-八里
9369,華南永昌-三重
9372,華南永昌-內湖
9373,華南永昌-新店
9386,華南永昌-東昇
9600,富邦
9602,富邦-溪湖
9604,富邦-陽明
9607,富邦-古亭
9608,富邦-台東
9611,富邦-忠孝
9614,富邦-基隆
9615,富邦-木柵
9616,富邦-岡山
9618,富邦-大同
9621,富邦-花蓮
9622,富邦-園區
9623,富邦-台北
9624,富邦-竹北
9625,富邦-竹東
9627,富邦-內湖
9628,富邦-松山
9629,富邦-士林
9631,富邦-中港
9634,富邦-羅東
9636,富邦-環北
9645,富邦-南京
9647,富邦-華信
9648,富邦-林森
9649,富邦-中正
9651,富邦-民生
9652,富邦-世貿
9653,富邦-延平
9654,富邦-永和
9655,富邦-板橋
9656,富邦-三民
9657,富邦-苗栗
9658,富邦-建國
9659,富邦-高雄
965K,富邦-台中
965U,富邦-彰化
9661,富邦-新店
9663,富邦-經紀
9664,富邦-天母
9665,富邦-桃園
9666,富邦-南屯
9667,富邦-台南
9668,富邦-小北
9669,富邦-新竹
966F,富邦-左營
9671,富邦-八德
9672,富邦-員林
9673,富邦-城中
9676,富邦-仁愛
9677,富邦-三重
9678,富邦-北投
9679,富邦-金山
9682,富邦-中壢
9686,富邦-宜蘭
9689,富邦-重慶
9692,富邦-嘉義
9693,富邦-新營
9694,富邦-中山
9695,富邦-民雄
9697,富邦-虎尾
9699,富邦--大安
969C,富邦-北港
9700,寶來
9701,寶來-羅東
9702,寶來-頭份
9704,寶來-世貿
9709,寶來-內科
970A,寶來-北桃園
970B,寶來-三重
970C,寶來-新板
9711,寶來-和平
9713,寶來-長榮
9717,寶來-竹科
9718,寶來-高雄七賢
971A,寶來-南京
971D,寶來-敦南
971E,寶來-樹林
971F,寶來-楊梅
971H,寶來-中山
9752,寶來-永和
975A,寶來-古亭
975K,寶來-基隆
9791,寶來-復興
9792,寶來-西門
9793,寶來-雙和
9794,寶來-土城
9795,寶來-高雄
9796,寶來-天母
9797,寶來-台南
9798,寶來-板橋
9799,寶來-成功
979A,寶來-台中
979B,寶來-新莊
979C,寶來-蘆洲
979D,寶來-桃園
979E,寶來- 新竹
979F,寶來-員林
979G,寶來-左營
979H,寶來-松山
979I,寶來-向上
979J,寶來-台中文心
979K,寶來-嘉義
979L,寶來-花蓮
979M,寶來-中壢
979N,寶來-龍潭
979P,寶來-豐原
979Q,寶來-松江
979R,寶來-鳳山
979S,寶來-景美
979U,寶來-斗六
9800,元大寶來
9801,元大寶來-松江
9804,元大寶來-和平
9805,元大寶來-北天母
980a,元大寶來-承德
980B,元大寶來-復興
980C,元大寶來- 斗六
980D,元大寶來-開元
980d,元大寶來-沙鹿
980e,元大寶來-清水
980g,元大寶來-大雅
980h,元大寶來-台北
980K,元大寶來-竹科
980l,元大寶來-虎尾
980n,元大寶來-自由
980Q,元大寶來-南崁
980R,元大寶來-南海
980u,元大寶來-府城
980w,元大寶來-西屯
9812,元大寶來-台中
9813,元大寶來-八德
9814,元大寶來-大益
9815,元大寶來-永康
9816,元大寶來-新竹
9817,元大寶來-東泰
9819,元大寶來-桃園
981a,元大寶來-歸仁
981A,元大寶來-鶯歌
981B,元大寶來-竹北
981C,元大寶來-路竹
981D,元大寶來-南投
981E,元大寶來-發財
981e,元大寶來-佳里
981F,元大寶來-福營
981G,元大寶來-彰化
981g,元大寶來-大里
981h,元大寶來-屏東民生
981i,元大寶來-西螺
981I,元大寶來-天母
981j,元大寶來-士林
981J,元大寶來-高福
981K,元大寶來-林園
981L,元大寶來-莒光
981m,元大寶來-新興
981M,元大寶來-苗栗
981N,元大寶來-金門
981n,元大寶來-旗山
981p,元大寶來-松山
981q,元大寶來-艋舺
981Q,元大寶來-太平
981r,元大寶來-屏南
981R,元大寶來-竹山
981S,元大寶來-崇德
981U,元大寶來-華山
981V,元大寶來-民雄
981X,元大寶來-東門
981y,元大寶來-善化
981z,元大寶來-大統
981Z,元大寶來-潮州
9821,元大寶來-敦信
9822,元大寶來-土城學府
9824,元大寶來-向上
9825,元大寶來-新營
9826,元大寶來-府中
9829,元大寶來-南永康
982A,元大寶來-羅東
982B,元大寶來-博愛
982C,元大寶來-六合
982D,元大寶來-中壢中山
982F,元大寶來-忠孝鼎富
982J,元大寶來-中華
982K,元大寶來-北寧
9831,元大寶來-四維
9833,元大寶來-敦化
9834,元大寶來-中壢
9835,元大寶來-員林
9836,元大寶來-重慶
9837,元大寶來-北港
9838,元大寶來-豐原中正
983a,元大寶來-花蓮
983B,元大寶來-台南長榮
983e,元大寶來-劍潭
983f,元大寶來-竹東
983G,元大寶來-上新莊
983I,元大寶來-台南西門
