代號,名稱,前資餘額(張),資買,資賣,現償,資餘額,資屬證金,資使用率(%),資限額,前券餘額(張),券賣,券買,券償,券餘額,券屬證金,券使用率(%),券限額,資券相抵(張),備註
"8069","元太","29,750","435","301","14","29,870","1,416","11.05","270,116","310","33","59","1","283","13","0.1","270,116","14",""
"8071","能率網通","4,171","9","9","0","4,171","268","32.17","12,963","0","0","0","0","0","0","0.0","12,963","0",""
"8074","鉅橡","2,538","4","7","5","2,530","105","12.33","20,519","46","0","0","0","46","0","0.22","20,519","0",""
"8076","伍豐","12,413","74","156","15","12,316","721","19.57","62,902","102","11","0","0","113","5","0.17","62,902","0",""
"8080","奧斯特","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8083","瑞穎","371","2","2","0","371","2","4.22","8,783","0","0","0","0","0","0","0.0","8,783","0","11C"
"8085","福華","2,987","0","32","0","2,955","255","7.51","39,314","0","0","0","0","0","0","0.0","39,314","0",""
"8086","宏捷科","20,727","842","448","2","21,119","803","58.7","35,977","1,060","103","50","0","1,113","25","3.09","35,977","7",""
"8088","品安","2,911","13","0","0","2,924","247","19.19","15,230","1","0","0","0","1","0","0.0","15,230","0",""
"8091","翔名","2,108","114","150","0","2,072","53","19.51","10,619","18","1","5","0","14","0","0.13","10,619","0",""
"8093","保銳","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","11OXA"
"8096","擎亞","9,083","23","28","0","9,078","253","26.0","34,905","19","0","0","0","19","0","0.05","34,905","0",""
"8097","常珵","381","15","9","0","387","5","22.44","1,724","0","0","0","0","0","0","0.0","1,724","0",""
"8099","大世科","566","0","1","0","565","30","3.36","16,800","0","0","0","0","0","0","0.0","16,800","0",""
"8107","大億金茂","6,105","32","30","0","6,107","216","32.57","18,750","26","0","1","0","25","3","0.13","18,750","0",""
"8109","博大","108","6","0","0","114","3","0.69","16,502","0","0","0","0","0","0","0.0","16,502","0",""
"8111","立��","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8121","越峰","5","0","1","0","4","1","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8155","博智","2,505","137","50","0","2,592","47","20.83","12,439","44","5","10","0","39","0","0.31","12,439","2",""
"8171","天宇","408","0","0","0","408","3","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8176","智捷","4,167","9","50","0","4,126","249","22.76","18,125","20","1","0","0","21","7","0.11","18,125","0",""
"8182","加高","2,567","0","5","0","2,562","285","9.57","26,760","0","0","0","0","0","0","0.0","26,760","0",""
"8183","精星","6,706","91","35","0","6,762","621","22.3","30,312","198","3","6","0","195","0","0.64","30,312","0",""
"8234","新漢","3,098","25","17","0","3,106","64","8.79","35,306","5","1","0","0","6","0","0.01","35,306","0",""
"8240","華宏","1,975","42","34","0","1,983","321","7.93","25,001","0","0","0","0","0","0","0.0","25,001","0",""
"8255","朋程","2,429","15","42","0","2,402","73","12.83","18,716","0","0","0","0","0","0","0.0","18,716","1",""
"8277","商丞","8,111","41","38","0","8,114","1,308","35.42","22,907","0","0","0","0","0","0","0.0","22,907","0",""
"8287","英格爾","6,808","0","17","0","6,791","666","0.0","0","0","0","0","0","0","0","0.0","0","0","11OXA"
"8289","泰藝","2,440","5","0","0","2,445","400","12.71","19,236","0","0","0","0","0","0","0.0","19,236","0",""
"8299","群聯","5,728","89","53","0","5,764","176","12.45","46,293","73","2","2","0","73","0","0.15","46,293","0",""
"8349","�矬�","2,847","32","33","0","2,846","69","9.84","28,900","71","2","0","0","73","0","0.25","28,900","0",""
"8354","冠好","229","0","0","0","229","0","1.43","15,935","0","0","0","0","0","0","0.0","15,935","0",""
"8358","金居","27,937","119","309","1","27,746","2,694","43.93","63,147","609","70","38","0","641","10","1.01","63,147","3",""
"8383","千附","3,521","55","31","0","3,545","74","11.99","29,548","20","1","9","0","12","0","0.04","29,548","0",""
"8390","金益鼎","1,746","6","18","0","1,734","87","8.97","19,327","0","0","0","0","0","0","0.0","19,327","0",""
"8401","白紗科","3,153","29","73","0","3,109","620","19.86","15,650","7","2","0","0","9","0","0.05","15,650","0",""
