"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
"1326","台化","55","85","11","1,480","1,439","1,465,296","0","2","0","33","35","1,465,296","0","",
"1337","再生-KY","73","119","11","12,257","12,200","66,944","1","0","0","170","169","66,944","2","",
"1338","廣華-KY","23","25","1","5,982","5,979","20,960","0","0","0","2","2","20,960","0","",
"1339","昭輝","0","0","0","1,207","1,207","18,534","0","0","0","5","5","18,534","0","",
"1340","勝悅-KY","13","27","1","7,107","7,092","31,595","0","0","0","21","21","31,595","0","",
"1402","遠東新","678","807","0","6,054","5,925","1,338,218","5","18","0","29","42","1,338,218","39","",
"1409","新纖","396","314","0","10,995","11,077","404,602","0","0","0","5","5","404,602","0","",
"1410","南染","0","0","0","602","602","18,000","0","0","0","0","0","18,000","0","",
"1413","宏洲","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1414","東和","42","52","0","3,222","3,212","55,000","0","1","0","5","6","55,000","0","",
"1416","廣豐","6","8","15","3,124","3,107","46,335","0","0","0","0","0","46,335","0","",
"1417","嘉裕","0","278","0","6,496","6,218","0","0","0","0","0","0","0","0","OX",
"1418","東華","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1419","新紡","0","2","0","113","111","75,010","0","0","0","6","6","75,010","0","",
"1423","利華","252","327","0","9,532","9,457","43,250","7","48","0","204","245","43,250","1","",
"1432","大魯閣","56","40","0","7,585","7,601","41,984","0","0","0","1","1","41,984","0","",
"1434","福懋","123","7","0","320","436","421,166","0","0","0","0","0","421,166","2","",
"1435","中福","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1436","華友聯","1","0","0","55","56","18,975","0","0","0","0","0","18,975","0","",
"1437","勤益控","16","17","0","2,105","2,104","48,421","0","0","0","0","0","48,421","0","",
"1438","裕豐","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1439","中和","781","458","0","9,018","9,341","23,000","116","235","0","1,543","1,662","23,000","69","",
"1440","南紡","48","6","0","6,465","6,507","414,203","0","0","0","0","0","414,203","0","",
"1441","大東","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1442","名軒","0","10","0","961","951","75,097","0","0","0","0","0","75,097","0","",
"1443","立益","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1444","力麗","637","772","0","38,489","38,354","239,325","73","7","0","103","37","239,325","63","",
"1445","大宇","2","0","0","7,049","7,051","34,666","0","0","0","0","0","34,666","0","",
